Product Reference;MPN;Name;Categories Names;Short Description;Long Description;Price Catalogue TTC;Images;Manufacturer Name;Features;Quantity
Expando TCP-V0 5-0/8;5081000538;Expando TCP-V0 5-0/8;Expando TCP-V0;"<p style=""text-align:justify;"">Expando TCP-V0 ist ein flexibler und stauchbarer Geflechtschlauch aus modifiziertem Polyester. Expando TCP-V0 eignet sich bestens als mechanischer Schutz und zur Bündelung von Kabelbäumen, Schläuchen und Leitungen. Das Rohmaterial ist nach Norm UL 94 klassifiziert und bietet hervorragende flammwidrige Eigenschaften.</p>
<p style=""text-align:justify;"">Die hohe Stauchbarkeit des Geflechts garantiert einfachste Montage, auch über schon montierte Steckverbinder. Neben vielen weiteren Einsatzmöglichkeiten eignet sich der TCP-V0 Geflechtschlauch dank EN 45545-2 auch für Bahnanwendungen.</p>";"<h3>Eigenschaften und Nutzen</h3>
<ul>
<li>Aufdehnbarkeit 1:2</li>
<li>Temperaturbereich: -50°C bis +150°C</li>
<li>Schützt vor Abrieb</li>
<li>EN 45545-2</li>
<li>ASTM E-162 / E-662</li>
<li>UL 94 V0 (Rohmaterial)</li>
<li>Flexibel</li>
<li>Halogenfrei</li>
<li>flammwidrig</li>
</ul>";160;http://ray.com.dedi4095.your-server.de/1481-pd4_def/expando-tcp-v0-5-0-8.jpg,http://ray.com.dedi4095.your-server.de/1482-pd4_def/expando-tcp-v0-5-0-8.jpg,http://ray.com.dedi4095.your-server.de/1483-pd4_def/expando-tcp-v0-5-0-8.jpg;Federal Mogul - Systems Protection - Bentley Harris;Durchmesser minimum:4mm:0:0,Durchmesser maximum:8mm:1:0,Betriebstemperatur:-50°C bis +150°C:2:0,Farbe:Schwarz mit grauem Kennfaden:3:0,Material:Polyester (modifiziert):4:0,Funktionsweise:Geflechtschlauch aufdehnbar:5:0,Gewicht:auf Anfrage:6:0,Halogenfrei:Ja:7:0,Flammwidrig:Ja:8:0,Aufdehnbarkeit:1 zu 2:9:0,Bahnzulassung:Ja - EN 45545-2:10:0,Hersteller:Federal Mogul - Systems Protection:11:0,Abriebschutz:Ja:12:0,Alias:5081000538:13:1,Serie:Expando TCP-V0:14:0,UL:Ja - UL 94 V0 (Rohmaterial):17:0,EN 45545-2:Ja:18:0;120
Expando TCP-V0 7-0/8;5081000738;Expando TCP-V0 7-0/8;Expando TCP-V0;"<p style=""text-align:justify;"">Expando TCP-V0 ist ein flexibler und stauchbarer Geflechtschlauch aus modifiziertem Polyester. Expando TCP-V0 eignet sich bestens als mechanischer Schutz und zur Bündelung von Kabelbäumen, Schläuchen und Leitungen. Das Rohmaterial ist nach Norm UL 94 klassifiziert und bietet hervorragende flammwidrige Eigenschaften.</p>
<p style=""text-align:justify;"">Die hohe Stauchbarkeit des Geflechts garantiert einfachste Montage, auch über schon montierte Steckverbinder. Neben vielen weiteren Einsatzmöglichkeiten eignet sich der TCP-V0 Geflechtschlauch dank EN 45545-2 auch für Bahnanwendungen.</p>";"<h3>Eigenschaften und Nutzen</h3>
<ul>
<li>Aufdehnbarkeit 1:2</li>
<li>Temperaturbereich: -50°C bis +150°C</li>
<li>Schützt vor Abrieb</li>
<li>EN 45545-2</li>
<li>ASTM E-162 / E-662</li>
<li>UL 94 V0 (Rohmaterial)</li>
<li>Flexibel</li>
<li>Halogenfrei</li>
<li>flammwidrig</li>
</ul>";160;http://ray.com.dedi4095.your-server.de/1481-pd4_def/expando-tcp-v0-5-0-8.jpg,http://ray.com.dedi4095.your-server.de/1482-pd4_def/expando-tcp-v0-5-0-8.jpg,http://ray.com.dedi4095.your-server.de/1483-pd4_def/expando-tcp-v0-5-0-8.jpg;Federal Mogul - Systems Protection - Bentley Harris;Durchmesser minimum:7mm:0:0,Durchmesser maximum:9mm:1:0,Betriebstemperatur:-50°C bis +150°C:2:0,Farbe:Schwarz mit grauem Kennfaden:3:0,Material:Polyester (modifiziert):4:0,Funktionsweise:Geflechtschlauch aufdehnbar:5:0,Gewicht:auf Anfrage:6:0,Halogenfrei:Ja:7:0,Flammwidrig:Ja:8:0,Aufdehnbarkeit:1 zu 2:9:0,Bahnzulassung:Ja - EN 45545-2:10:0,Hersteller:Federal Mogul - Systems Protection:11:0,Abriebschutz:Ja:12:0,Alias:5081000738:13:1,Serie:Expando TCP-V0:14:0,UL:Ja - UL 94 V0 (Rohmaterial):17:0,EN 45545-2:Ja:18:0;120
Expando TCP-V0 9-0/8;5081000938;Expando TCP-V0 9-0/8;Expando TCP-V0;"<p style=""text-align:justify;"">Expando TCP-V0 ist ein flexibler und stauchbarer Geflechtschlauch aus modifiziertem Polyester. Expando TCP-V0 eignet sich bestens als mechanischer Schutz und zur Bündelung von Kabelbäumen, Schläuchen und Leitungen. Das Rohmaterial ist nach Norm UL 94 klassifiziert und bietet hervorragende flammwidrige Eigenschaften.</p>
<p style=""text-align:justify;"">Die hohe Stauchbarkeit des Geflechts garantiert einfachste Montage, auch über schon montierte Steckverbinder. Neben vielen weiteren Einsatzmöglichkeiten eignet sich der TCP-V0 Geflechtschlauch dank EN 45545-2 auch für Bahnanwendungen.</p>";"<h3>Eigenschaften und Nutzen</h3>
<ul>
<li>Aufdehnbarkeit 1:2</li>
<li>Temperaturbereich: -50°C bis +150°C</li>
<li>Schützt vor Abrieb</li>
<li>EN 45545-2</li>
<li>ASTM E-162 / E-662</li>
<li>UL 94 V0 (Rohmaterial)</li>
<li>Flexibel</li>
<li>Halogenfrei</li>
<li>flammwidrig</li>
</ul>";160;http://ray.com.dedi4095.your-server.de/1481-pd4_def/expando-tcp-v0-5-0-8.jpg,http://ray.com.dedi4095.your-server.de/1482-pd4_def/expando-tcp-v0-5-0-8.jpg,http://ray.com.dedi4095.your-server.de/1483-pd4_def/expando-tcp-v0-5-0-8.jpg;Federal Mogul - Systems Protection - Bentley Harris;Durchmesser minimum:9mm:0:0,Durchmesser maximum:11mm:1:0,Betriebstemperatur:-50°C bis +150°C:2:0,Farbe:Schwarz mit grauem Kennfaden:3:0,Material:Polyester (modifiziert):4:0,Funktionsweise:Geflechtschlauch aufdehnbar:5:0,Gewicht:auf Anfrage:6:0,Halogenfrei:Ja:7:0,Flammwidrig:Ja:8:0,Aufdehnbarkeit:1 zu 2:9:0,Bahnzulassung:Ja - EN 45545-2:10:0,Hersteller:Federal Mogul - Systems Protection:11:0,Abriebschutz:Ja:12:0,Alias:5081000938:13:1,Serie:Expando TCP-V0:14:0,UL:Ja - UL 94 V0 (Rohmaterial):17:0,EN 45545-2:Ja:18:0;120
