"Bezug";"Name";"MPN";"Zusammenfassung";"Beschreibung";"Markierungen (x,y,z...)";"Preis (inkl. MwSt.)";"Einheit";"Unit Price";"Standard-Kategoriename";"Kategorienamen (x,y,z...)";"Markenname";"Verwandte Produkt-IDs (x,y,z...)";"Verwandte Produktnamen (x,y,z...)";"Gewicht";"Menge";"Etikett, wenn auf Lager";"Etikett wenn Nachbestellung erlaubt";"Aktion Wenn nicht auf Lager";"Bild-URLs (x,y,z...)";"Features (Name~Value~Custom) (x,y,z...)";"Anhang-URLs (x,y,z...)";"Anhangsnamen (x,y,z...)";"Anhangsbeschreibungen (x,y,z...)"
"Expando TCP-V0 5-0/8";"Expando TCP-V0 5-0/8";"5081000538";"<p style=""text-align:justify;"">123Expando TCP-V0 ist ein flexibler und stauchbarer Geflechtschlauch aus modifiziertem Polyester. Expando TCP-V0 eignet sich bestens als mechanischer Schutz und zur Bündelung von Kabelbäumen, Schläuchen und Leitungen. Das Rohmaterial ist nach Norm UL 94 klassifiziert und bietet hervorragende flammwidrige Eigenschaften.</p>
<p style=""text-align:justify;"">Die hohe Stauchbarkeit des Geflechts garantiert einfachste Montage, auch über schon montierte Steckverbinder. Neben vielen weiteren Einsatzmöglichkeiten eignet sich der TCP-V0 Geflechtschlauch dank EN 45545-2 auch für Bahnanwendungen.</p>";"<h3>Eigenschaften und Nutzen</h3>
<ul>
<li>Aufdehnbarkeit 1:2</li>
<li>Temperaturbereich: -50°C bis +150°C</li>
<li>Schützt vor Abrieb</li>
<li>EN 45545-2</li>
<li>ASTM E-162 / E-662</li>
<li>UL 94 V0 (Rohmaterial)</li>
<li>Flexibel</li>
<li>Halogenfrei</li>
<li>flammwidrig</li>
</ul>";"";"";"Pro 50m";"120.00003";"Expando TCP-V0";"Expando TCP-V0";"Federal Mogul - Systems Protection - Bentley Harris";"";"";"0";"120";"Lieferfrist: 3-4 Tage";"Lieferfrist: 11-12 Wochen";"2";"http://ray.com.dedi4095.your-server.de/img/p/1/4/8/1/1481.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/4/8/2/1482.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/4/8/3/1483.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/5/5/6/1556.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/5/5/7/1557.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/5/5/8/1558.jpg";"Durchmesser minimum~4mm~0,Durchmesser minimum~4mm~0,Durchmesser maximum~8mm~0,Betriebstemperatur~-50°C bis +150°C~0,Farbe~Schwarz mit grauem Kennfaden~0,Material~Polyester (modifiziert)~0,Funktionsweise~Geflechtschlauch aufdehnbar~0,Gewicht~auf Anfrage~0,Halogenfrei~Ja~0,Flammwidrig~Ja~0,Aufdehnbarkeit~1 zu 2~0,Bahnzulassung~Ja - EN 45545-2~0,Hersteller~Federal Mogul - Systems Protection~0,Abriebschutz~Ja~0,Alias~5081000538~1,Serie~Expando TCP-V0~0,UL~Ja - UL 94 V0 (Rohmaterial)~0,EN 45545-2~Ja~0";"http://ray.com.dedi4095.your-server.de/de/module/ipcatalogexportimport/getAttachment?id_attachment=12";"Datenblatt TCP-V0";""
"Expando TCP-V0 7-0/8";"Expando TCP-V0 7-0/8";"5081000738";"<p style=""text-align:justify;"">Expando TCP-V0 ist ein flexibler und stauchbarer Geflechtschlauch aus modifiziertem Polyester. Expando TCP-V0 eignet sich bestens als mechanischer Schutz und zur Bündelung von Kabelbäumen, Schläuchen und Leitungen. Das Rohmaterial ist nach Norm UL 94 klassifiziert und bietet hervorragende flammwidrige Eigenschaften.</p>
<p style=""text-align:justify;"">Die hohe Stauchbarkeit des Geflechts garantiert einfachste Montage, auch über schon montierte Steckverbinder. Neben vielen weiteren Einsatzmöglichkeiten eignet sich der TCP-V0 Geflechtschlauch dank EN 45545-2 auch für Bahnanwendungen.</p>";"<h3>Eigenschaften und Nutzen</h3>
<ul>
<li>Aufdehnbarkeit 1:2</li>
<li>Temperaturbereich: -50°C bis +150°C</li>
<li>Schützt vor Abrieb</li>
<li>EN 45545-2</li>
<li>ASTM E-162 / E-662</li>
<li>UL 94 V0 (Rohmaterial)</li>
<li>Flexibel</li>
<li>Halogenfrei</li>
<li>flammwidrig</li>
</ul>";"";"";"";"0";"Expando TCP-V0";"Expando TCP-V0";"Federal Mogul - Systems Protection - Bentley Harris";"";"";"0";"120";"";"";"2";"http://ray.com.dedi4095.your-server.de/img/p/1/5/5/9/1559.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/5/6/0/1560.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/5/6/1/1561.jpg";"Durchmesser minimum~7mm~0,Durchmesser maximum~9mm~0,Betriebstemperatur~-50°C bis +150°C~0,Farbe~Schwarz mit grauem Kennfaden~0,Material~Polyester (modifiziert)~0,Funktionsweise~Geflechtschlauch aufdehnbar~0,Gewicht~auf Anfrage~0,Halogenfrei~Ja~0,Flammwidrig~Ja~0,Aufdehnbarkeit~1 zu 2~0,Bahnzulassung~Ja - EN 45545-2~0,Hersteller~Federal Mogul - Systems Protection~0,Abriebschutz~Ja~0,Alias~5081000738~1,Serie~Expando TCP-V0~0,UL~Ja - UL 94 V0 (Rohmaterial)~0,EN 45545-2~Ja~0";"";"";""
"Expando TCP-V0 9-0/8";"Expando TCP-V0 9-0/8";"5081000938";"<p style=""text-align:justify;"">Expando TCP-V0 ist ein flexibler und stauchbarer Geflechtschlauch aus modifiziertem Polyester. Expando TCP-V0 eignet sich bestens als mechanischer Schutz und zur Bündelung von Kabelbäumen, Schläuchen und Leitungen. Das Rohmaterial ist nach Norm UL 94 klassifiziert und bietet hervorragende flammwidrige Eigenschaften.</p>
<p style=""text-align:justify;"">Die hohe Stauchbarkeit des Geflechts garantiert einfachste Montage, auch über schon montierte Steckverbinder. Neben vielen weiteren Einsatzmöglichkeiten eignet sich der TCP-V0 Geflechtschlauch dank EN 45545-2 auch für Bahnanwendungen.</p>";"<h3>Eigenschaften und Nutzen</h3>
<ul>
<li>Aufdehnbarkeit 1:2</li>
<li>Temperaturbereich: -50°C bis +150°C</li>
<li>Schützt vor Abrieb</li>
<li>EN 45545-2</li>
<li>ASTM E-162 / E-662</li>
<li>UL 94 V0 (Rohmaterial)</li>
<li>Flexibel</li>
<li>Halogenfrei</li>
<li>flammwidrig</li>
</ul>";"";"";"";"0";"Expando TCP-V0";"Expando TCP-V0";"Federal Mogul - Systems Protection - Bentley Harris";"";"";"0";"120";"";"";"2";"http://ray.com.dedi4095.your-server.de/img/p/1/5/6/2/1562.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/5/6/3/1563.jpg,http://ray.com.dedi4095.your-server.de/img/p/1/5/6/4/1564.jpg";"Durchmesser minimum~9mm~0,Durchmesser maximum~11mm~0,Betriebstemperatur~-50°C bis +150°C~0,Farbe~Schwarz mit grauem Kennfaden~0,Material~Polyester (modifiziert)~0,Funktionsweise~Geflechtschlauch aufdehnbar~0,Gewicht~auf Anfrage~0,Halogenfrei~Ja~0,Flammwidrig~Ja~0,Aufdehnbarkeit~1 zu 2~0,Bahnzulassung~Ja - EN 45545-2~0,Hersteller~Federal Mogul - Systems Protection~0,Abriebschutz~Ja~0,Alias~5081000938~1,Serie~Expando TCP-V0~0,UL~Ja - UL 94 V0 (Rohmaterial)~0,EN 45545-2~Ja~0";"";"";""
