"Specific Price ID";"Catalog Price Rule ID";"Catalog Price Rule Name";"Catalog Price Rule Conditions";"Product ID";"Product Reference";"Product Name";"Combination ID";"Combination Reference";"Combination Attributes";"Reduction";"Reduction Type";"Reduction Tax (0 = No, 1 = Yes)";"From Date";"To Date";"Price";"From Quantity";"Customer Email";"Group Name";"Country Name";"Currency ISO Code";"Is Rule"
"53";"0";"";"";"80";"Expando TCP-V0 5-0/11";"Expando TCP-V0 5-0/8";"";"";"";"0";"amount";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"120";"3";"";"";"";"";"0"
"54";"0";"";"";"80";"Expando TCP-V0 5-0/11";"Expando TCP-V0 5-0/8";"";"";"";"0";"amount";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"110";"5";"";"";"";"";"0"
"57";"0";"";"";"77";"Expando TCP-V0 5-0/8";"Expando TCP-V0 5-0/8";"";"";"";"0";"amount";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"120";"3";"";"";"";"";"0"
"58";"0";"";"";"77";"Expando TCP-V0 5-0/8";"Expando TCP-V0 5-0/8";"";"";"";"0";"amount";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"110";"5";"";"";"";"";"0"
"51";"0";"";"";"42";"RNF-3000-1.5/0.5-0-SP";"RNF-3000-1.5/0.5-0-SP";"";"";"";"0";"amount";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"80";"2";"";"";"";"";"0"
"56";"0";"";"";"42";"RNF-3000-1.5/0.5-0-SP";"RNF-3000-1.5/0.5-0-SP";"";"";"";"0";"amount";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"80";"2";"";"";"";"";"0"
"50";"0";"";"";"40";"VCDS-1.5/0.5-0-R";"VCDS-1.5/0.5-0-R";"";"";"";"0";"amount";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"70";"2";"";"";"";"";"0"
"55";"0";"";"";"40";"VCDS-1.5/0.5-0-R";"VCDS-1.5/0.5-0-R";"";"";"";"0";"amount";"0";"0000-00-00 00:00:00";"0000-00-00 00:00:00";"70";"2";"";"";"";"";"0"
